Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,vx (sx) error ,Pauli-X error ,ECR error ,Gate time (ns)
65,52.30242466,38.61621488,5.103339661,-0.302075309,0.195,0.153333333,0.236666667,2000,0.000524143,0.000524143,0.000524143,65_55:0.03290394418727263; 65_89:0.16428545294702387,65_55:660; 65_89:660
66,67.00662057,79.80815567,5.352346814,-0.29796084,0.019,0.0238,0.0142,2000,0.002948569,0.002948569,0.002948569,66_93:0.042995805377203156,66_93:660
67,142.1274812,44.0364913,5.119382693,-0.301793511,0.0288,0.025,0.0326,2000,0.000348252,0.000348252,0.000348252,67_68:0.014936574700626482; 67_94:1,67_68:660; 67_94:135
68,139.9119646,66.88277464,5.268501076,-0.298915894,0.0142,0.011,0.0174,2000,0.000480924,0.000480924,0.000480924,68_69:0.014543617478999266,68_69:660
69,110.7357189,40.83868687,5.207158059,-0.301408029,0.0158,0.0172,0.0144,2000,0.000563441,0.000563441,0.000563441,undefined,undefined
70,104.6649138,91.53821038,5.301491023,-0.297744557,0.0158,0.0162,0.0154,2000,0.000431921,0.000431921,0.000431921,70_69:0.01354941427519768; 70_71:0.011675123183615715,70_69:660; 70_71:660
71,79.15247519,41.47008042,5.234896227,-0.299768979,0.0309,0.0136,0.0482,2000,0.00057104,0.00057104,0.00057104,71_72:0.015081920453610703,71_72:660
72,40.67796069,36.06177913,5.18177658,-0.300189045,0.0751,0.0732,0.077,2000,0.000673755,0.000673755,0.000673755,72_73:0.021862364052637445,72_73:660
73,38.97207219,56.45690819,5.148028632,-0.302811953,0.1264,0.1332,0.1196,2000,0.000859387,0.000859387,0.000859387,undefined,undefined
74,36.69170814,11.42486244,5.084549869,-0.301338608,0.2104,0.2144,0.2064,2000,0.000720929,0.000720929,0.000720929,74_73:0.022937346673832765; 74_75:0.019239406285152555,74_73:660; 74_75:660
75,50.45934149,65.47466041,5.134212074,-0.300013106,0.1609,0.1644,0.1574,2000,0.003715345,0.003715345,0.003715345,75_96:0.04005847384079761,75_96:660
76,116.0027806,79.06827574,5.060818443,-0.302088454,0.2285,0.224,0.233,2000,0.000350156,0.000350156,0.000350156,76_75:0.014079014059799055; 76_77:0.00990076525242517,76_75:660; 76_77:660
77,94.74727314,56.65225209,5.161723327,-0.302109868,0.0144,0.0096,0.0192,2000,0.000340545,0.000340545,0.000340545,77_62:0.013670081634978376; 77_78:0.014558853355199214,77_62:660; 77_78:660
78,144.4887838,43.6486939,5.115018264,-0.300981835,0.0247,0.0136,0.0358,2000,0.000746949,0.000746949,0.000746949,78_79:0.02547740420817038,78_79:660
