Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,√x (sx) error ,Pauli-X error ,CNOT error ,Gate time (ns)
95,99.04594714,134.9992522,5.22059755,-0.305475928,0.1903,0.2042,0.1764,864,0.000440837,0.000440837,0.000440837,95_96:0.016090497073461413; 95_94:0.010987923121324739,95_96:455.1111111111111; 95_94:362.66666666666663
96,100.4300943,49.87665201,5.141894019,-0.305860035,0.044,0.0468,0.0412,864,0.000618934,0.000618934,0.000618934,96_95:0.016090497073461413; 96_97:0.010961446603078823; 96_109:1,96_95:490.66666666666663; 96_97:362.66666666666663; 96_109:1187.5555555555554
97,113.5807196,62.48854791,5.051610642,-0.307543952,0.0088,0.0104,0.0072,864,0.000336408,0.000336408,0.000336408,97_96:0.010961446603078823; 97_98:0.02184964118852334,97_96:398.2222222222222; 97_98:917.3333333333333
98,95.35738856,45.92647142,5.122195418,-0.294605686,0.0335,0.0392,0.0278,864,0.003372222,0.003372222,0.003372222,98_99:0.02246693281243678; 98_97:0.02184964118852334; 98_91:1,98_99:405.3333333333333; 98_97:952.8888888888888; 98_91:668.4444444444445
99,92.95416798,34.83709086,5.174956351,-0.304739342,0.0652,0.069,0.0614,864,0.001932182,0.001932182,0.001932182,99_98:0.02246693281243678; 99_100:0.034084989790719694,99_98:369.77777777777777; 99_100:732.4444444444445
100,96.42252449,58.13331001,5.028251959,-0.307649727,0.0236,0.0348,0.0124,864,0.000199999,0.000199999,0.000199999,100_110:0.01869304425753812; 100_101:0.006574894794436598; 100_99:0.034084989790719694,100_110:832; 100_101:419.55555555555554; 100_99:768
101,121.0193295,97.75782738,5.095222125,-0.307147892,0.0119,0.0164,0.0074,864,0.0003386,0.0003386,0.0003386,101_102:0.007749392304412767; 101_100:0.006574894794436598,101_102:362.66666666666663; 101_100:384
102,79.3115288,115.1902212,4.984550297,-0.308647087,0.0035,0.0052,0.0018,864,0.000200773,0.000200773,0.000200773,102_101:0.007749392304412767; 102_92:0.009839432540550364; 102_103:1,102_101:398.2222222222222; 102_92:576; 102_103:391.1111111111111
103,91.69307082,111.2722154,5.226724209,-0.30410695,0.0164,0.0314,0.0014,864,0.002783975,0.002783975,0.002783975,103_104:0.01855208372211606; 103_102:1,103_104:476.4444444444444; 103_102:355.55555555555554
104,108.4653973,134.3735462,5.134908319,-0.306321494,0.0022,0.004,0.0004,864,0.000233476,0.000233476,0.000233476,104_103:0.01855208372211606; 104_105:0.019904827986357426; 104_111:0.007243048122013013,104_103:512; 104_105:654.2222222222222; 104_111:483.55555555555554
105,130.6682354,135.9641053,4.985064037,-0.308634106,0.0118,0.0158,0.0078,864,0.000594879,0.000594879,0.000594879,105_106:0.022424200423143276; 105_104:0.019904827986357426,105_106:483.55555555555554; 105_104:689.7777777777777
106,68.51164765,28.65460532,5.040269598,-0.308137114,0.0098,0.0144,0.0052,864,0.000968963,0.000968963,0.000968963,106_105:0.022424200423143276; 106_93:0.01828911816037873; 106_107:0.02035680018998956,106_105:448; 106_93:476.4444444444444; 106_107:369.77777777777777
107,118.8239737,135.9905407,5.121618121,-0.305247961,0.0081,0.0084,0.0078,864,0.000228687,0.000228687,0.000228687,107_108:0.010409981489031273; 107_106:0.02035680018998956,107_108:554.6666666666666; 107_106:334.22222222222223
108,108.9379924,63.29215584,5.25358593,-0.303522156,0.0727,0.0684,0.077,864,0.000755689,0.000755689,0.000755689,108_112:0.02025980633074595; 108_107:0.010409981489031273,108_112:533.3333333333333; 108_107:519.1111111111111
109,undefined,undefined,4.973438697,-0.324902504,0.469,0.246,0.692,864,1,1,1,109_114:1; 109_96:1,109_114:668.4444444444445; 109_96:1009.7777777777777
110,88.21250977,51.78960947,5.291604362,-0.30294646,0.0165,0.0196,0.0134,864,0.000462792,0.000462792,0.000462792,110_100:0.01869304425753812; 110_118:0.009718480864998241,110_100:796.4444444444443; 110_118:405.3333333333333
